SKU,Item Name,Store,Total Units Sold (full window),"Units Sold (last 90 days, this store)",Avg Daily Units (this store),Gappy Sales Pattern,Spiky Sales Pattern,Suggested Par Level
210000010697,SURFSIDE LEMONADE 8 PACK,(Bayview/Coral Ridge) Ocean Wine & Spirits ,31.0,3.0,0.033,,,1
210000010697,SURFSIDE LEMONADE 8 PACK,(FTL Beach/A1A) Ocean Wine & Spirits ,31.0,5.0,0.056,,,1
210000010697,SURFSIDE LEMONADE 8 PACK,(Las Olas) Ocean Wine & Spirits ,31.0,18.0,0.2,,,2
210000010697,SURFSIDE LEMONADE 8 PACK,Beach Liquors & Cigars ,31.0,5.0,0.056,,,1
210000010697,SURFSIDE LEMONADE 8 PACK,Warehouse,31.0,0,0.0,,,0
52000328677,Gatorade Orange 20oz,(Bayview/Coral Ridge) Ocean Wine & Spirits ,30.0,0,0.0,,,0
52000328677,Gatorade Orange 20oz,(FTL Beach/A1A) Ocean Wine & Spirits ,30.0,7.0,0.078,,,1
52000328677,Gatorade Orange 20oz,(Las Olas) Ocean Wine & Spirits ,30.0,13.0,0.144,,,2
52000328677,Gatorade Orange 20oz,Beach Liquors & Cigars ,30.0,10.0,0.111,,,2
52000328677,Gatorade Orange 20oz,Warehouse,30.0,0,0.0,,,0
210000000026,TITOS HANDMADE VODKA 80  375ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,30.0,5.0,0.056,,,1
210000000026,TITOS HANDMADE VODKA 80  375ML,(FTL Beach/A1A) Ocean Wine & Spirits ,30.0,5.0,0.056,,,1
210000000026,TITOS HANDMADE VODKA 80  375ML,(Las Olas) Ocean Wine & Spirits ,30.0,5.0,0.056,,,1
210000000026,TITOS HANDMADE VODKA 80  375ML,Beach Liquors & Cigars ,30.0,15.0,0.167,,,2
210000000026,TITOS HANDMADE VODKA 80  375ML,Warehouse,30.0,0,0.0,,,0
210000012104,HEETS BRONZE FOR IQOS,(Bayview/Coral Ridge) Ocean Wine & Spirits ,30.0,1.0,0.011,,,1
210000012104,HEETS BRONZE FOR IQOS,(FTL Beach/A1A) Ocean Wine & Spirits ,30.0,0,0.0,,,0
210000012104,HEETS BRONZE FOR IQOS,(Las Olas) Ocean Wine & Spirits ,30.0,29.0,0.322,,,3
210000012104,HEETS BRONZE FOR IQOS,Beach Liquors & Cigars ,30.0,0,0.0,,,0
210000012104,HEETS BRONZE FOR IQOS,Warehouse,30.0,0,0.0,,,0
74780515504,MAISON PERRIER SPARKLING WATER 500ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,29.0,1.0,0.011,,,1
74780515504,MAISON PERRIER SPARKLING WATER 500ML,(FTL Beach/A1A) Ocean Wine & Spirits ,29.0,6.0,0.067,,,1
74780515504,MAISON PERRIER SPARKLING WATER 500ML,(Las Olas) Ocean Wine & Spirits ,29.0,17.0,0.189,,,2
74780515504,MAISON PERRIER SPARKLING WATER 500ML,Beach Liquors & Cigars ,29.0,5.0,0.056,,,1
74780515504,MAISON PERRIER SPARKLING WATER 500ML,Warehouse,29.0,0,0.0,,,0
210000012083,BLACK N MILD JAZZ,(Bayview/Coral Ridge) Ocean Wine & Spirits ,28.0,0,0.0,,,0
210000012083,BLACK N MILD JAZZ,(FTL Beach/A1A) Ocean Wine & Spirits ,28.0,0,0.0,,,0
210000012083,BLACK N MILD JAZZ,(Las Olas) Ocean Wine & Spirits ,28.0,0,0.0,,,0
210000012083,BLACK N MILD JAZZ,Beach Liquors & Cigars ,28.0,28.0,0.311,,,3
210000012083,BLACK N MILD JAZZ,Warehouse,28.0,0,0.0,,,0
049000040869,COCA COLA ZERO SUGAR 20OZ,(Bayview/Coral Ridge) Ocean Wine & Spirits ,28.0,3.0,0.033,,,1
049000040869,COCA COLA ZERO SUGAR 20OZ,(FTL Beach/A1A) Ocean Wine & Spirits ,28.0,9.0,0.1,,,1
049000040869,COCA COLA ZERO SUGAR 20OZ,(Las Olas) Ocean Wine & Spirits ,28.0,8.0,0.089,,,1
049000040869,COCA COLA ZERO SUGAR 20OZ,Beach Liquors & Cigars ,28.0,8.0,0.089,,,1
049000040869,COCA COLA ZERO SUGAR 20OZ,Warehouse,28.0,0,0.0,,,0
265751,NEWPORT SHORT'S BOX,(Bayview/Coral Ridge) Ocean Wine & Spirits ,28.0,5.0,0.056,,,1
265751,NEWPORT SHORT'S BOX,(FTL Beach/A1A) Ocean Wine & Spirits ,28.0,4.0,0.044,,,1
265751,NEWPORT SHORT'S BOX,(Las Olas) Ocean Wine & Spirits ,28.0,5.0,0.056,,,1
265751,NEWPORT SHORT'S BOX,Beach Liquors & Cigars ,28.0,14.0,0.156,,,2
265751,NEWPORT SHORT'S BOX,Warehouse,28.0,0,0.0,,,0
210000012100,HEETS GREEN FOR IQOS,(Bayview/Coral Ridge) Ocean Wine & Spirits ,27.0,4.0,0.044,,,1
210000012100,HEETS GREEN FOR IQOS,(FTL Beach/A1A) Ocean Wine & Spirits ,27.0,0,0.0,,,0
210000012100,HEETS GREEN FOR IQOS,(Las Olas) Ocean Wine & Spirits ,27.0,23.0,0.256,,,3
210000012100,HEETS GREEN FOR IQOS,Beach Liquors & Cigars ,27.0,0,0.0,,,0
210000012100,HEETS GREEN FOR IQOS,Warehouse,27.0,0,0.0,,,0
619947000013,TITOS HANDMADE VODKA 80 1L,(Bayview/Coral Ridge) Ocean Wine & Spirits ,27.0,4.0,0.044,,,1
619947000013,TITOS HANDMADE VODKA 80 1L,(FTL Beach/A1A) Ocean Wine & Spirits ,27.0,7.0,0.078,,,1
619947000013,TITOS HANDMADE VODKA 80 1L,(Las Olas) Ocean Wine & Spirits ,27.0,9.0,0.1,,,1
619947000013,TITOS HANDMADE VODKA 80 1L,Beach Liquors & Cigars ,27.0,7.0,0.078,,,1
619947000013,TITOS HANDMADE VODKA 80 1L,Warehouse,27.0,0,0.0,,,0
48500008614,Tropicana  Apple 15.2oz,(Bayview/Coral Ridge) Ocean Wine & Spirits ,26.0,0,0.0,,,0
48500008614,Tropicana  Apple 15.2oz,(FTL Beach/A1A) Ocean Wine & Spirits ,26.0,6.0,0.067,,,1
48500008614,Tropicana  Apple 15.2oz,(Las Olas) Ocean Wine & Spirits ,26.0,6.0,0.067,,,1
48500008614,Tropicana  Apple 15.2oz,Beach Liquors & Cigars ,26.0,14.0,0.156,,,2
48500008614,Tropicana  Apple 15.2oz,Warehouse,26.0,0,0.0,,,0
496340,Coke 12oz Single Can,(Bayview/Coral Ridge) Ocean Wine & Spirits ,26.0,0,0.0,,,0
496340,Coke 12oz Single Can,(FTL Beach/A1A) Ocean Wine & Spirits ,26.0,0,0.0,,,0
